first_open,last_close,Annual return
2163.7,7128.35,229.0
133.75,284.9,112.99999999999999
1464.9,2728.55,86.0
5305.0,9836.3,85.0
903.0,1612.6,79.0
175.28,310.75,77.0
784.75,1375.95,75.0
236.7,408.15,72.0
1092.0,1848.9,69.0
1884.0,3138.9,67.0
3095.95,4989.55,61.0
202.35,320.8,59.0
458.5,686.05,50.0
3309.8,4894.65,48.0
4835.0,7022.7,45.0
566.25,820.2,45.0
383.85,551.8,44.0
313.2,452.05,44.0
186.15,266.15,43.0
1886.5,2695.85,43.0
1130.95,1608.65,42.0
913.8,1292.25,41.0
1280.0,1766.05,38.0
630.0,834.05,32.0
8440.0,11065.65,31.0
736.9,963.65,31.0
4442.6,5726.9,28.999999999999996
1200.0,1551.75,28.999999999999996
1373.05,1757.25,28.000000000000004
2299.0,2947.25,28.000000000000004
119.0,148.56,25.0
2947.45,3622.3,23.0
977.85,1159.55,19.0
1462.25,1735.7,19.0
3355.0,3968.45,18.0
1371.05,1622.15,18.0
1077.0,1274.2,18.0
621.8,720.15,16.0
1144.58,1332.05,16.0
430.0,488.8,14.000000000000002
894.88,1002.55,12.0
1574.9,1750.75,11.0
10390.1,11076.45,7.000000000000001
2485.0,2528.25,2.0
3193.85,3267.05,2.0
1731.0,1731.1,0.0
2997.95,2935.65,-2.0
2420.0,2262.95,-6.0
7520.0,6889.75,-8.0
1443.9,1055.6,-27.0
